"Le Sieur Du Lhut","45.519107","-73.577509"
"Le 23e","45.532131","-73.611677"
"Le Onze de la Gare","45.403037","-74.047737"
"Le William","45.488877","-73.565516"
"Oasis Boréale","45.670639","-73.870384"
"Le Boisé Côte Saint-Louis","45.67986","-73.822742"
"Le Triomphe","45.500517","-73.575376"
"Ambiances Plein Sud","45.559144","-73.444441"
"Projet Bois des Caryers","45.440499","-73.615279"
"Quintessence","45.56965","-73.775885"
"Les Jardins Millen","45.553121","-73.654883"
"Les Cours du Roi","45.313383","-73.743623"
"Domaine du Ruisseau de Saint-Bruno","45.518695","-73.31728"
"Liv Condominiums","45.514725","-73.511023"
"Le Flambeau","45.765224","-73.419695"
"Domaine du ruisseau","45.515928","-73.327926"
"Le Boisé Pécaudy","45.853904","-73.229498"
"Bassins du Havre","45.490478","-73.56088"
"Rosa Nova","45.597066","-73.820204"
"Selby","45.482852","-73.584774"
"Les Portes de Londres","45.432382","-73.445214"
"Le Griffix","45.493497","-73.557609"
"Le Laurier Condominiums","45.559745","-73.20856"
"ONYX","45.496432","-73.61711"
"Le Courant ","45.526328","-73.549192"
"U31","45.543615","-73.561589"
"Mezz St-Dom","45.541871","-73.638787"
"Le 2245","45.552983","-73.543791"
"Les Sommets des Bois Franc","45.509195","-73.697538"
"Quinze Nord Condominium Urbain","45.630448","-73.853753"
"Cité Dix30","45.440712","-73.441741"
"Le Havre Du Richelieu","45.303465","-73.250744"
"Quartier Chambéry Condos","45.674677","-73.812662"
"Les Belvédères","45.670521","-73.871506"
"Viva condos - SUMUM ","45.56558131454653","-73.74543129096494"
"Domaine Bienville","45.655073","-73.748959"
"Quartier 440","45.57201","-73.762059"
"RYTHME Condos","45.506414","-73.568507"
"CUBE Condos","45.473594","-73.609943"
"Le Peterson","45.507321","-73.57088"
"Le Nordelec","45.484144","-73.56234"
"Le St-Vincent","45.603264","-73.646993"
"Marquise VI","45.563618","-73.764774"
"Domaine des 4 Collines","46.056725","-74.134189"
"Le Canal ","45.486628","-73.56673"
"La Machinerie","45.481008","-73.583249"
"Le De Montigny","45.516815","-73.559718"
"Walter sur Atwater","45.477991","-73.574592"
"Roche Condominiums","45.537199","-73.597677"
"Nouveau Chomedey","45.562731","-73.766091"
"Place du Havre","45.392813","-71.875535"
"Villas du Borée","45.51112","-73.717359"
"Gallery","45.490694","-73.558633"
"MYST","45.481643","-73.569259"
"Le Metropol","45.512755","-73.558307"
"L'Avenue","45.495725","-73.570663"
"Oro Résidences","45.498324","-73.58"
"Le Victoire","45.500509","-73.561006"
"Roccabella","45.499213","-73.578005"
"Le Liguori","45.546286","-73.63695"
"Vam 2","45.55634","-73.540241"
"Vibe Condominiums","45.490768","-73.579817"
"L7 Condo","45.469557","-73.567668"
"Thoma ","45.552541","-73.552486"
"Bôme","45.470244","-73.587141"
"GLO 2","45.516130","-73.554603"
"Rosemont sur le Parc","45.545435","-73.612046"
"Alcôve sur le Woonerf","45.470416","-73.587196"
"Les Habitations du Canal","45.467395","-73.592285"
"V-Station","45.57541","-73.655187"
"Drummond II","45.498574","-73.572271"
"Uni-T ","45.557264","-73.544926"
"Bö","45.559307","-73.537988"
"Le Mil-N","45.52704","-73.593533"
"Le LDV 4","45.566526","-73.599693"
"Domaine des Berges","45.516951","-73.779729"
"District Atwater","45.478563","-73.579684"
"Lowney sur ville","45.494701","-73.558860"
"21e arrondissement","45.498366","-73.557741"
"Aquasole","45.492809","-73.854016"
"Le Cartierville V","45.526289","-73.712506"
"Le St-Michel","45.558753","-73.597562"
"Habitat Veridis","45.626568","-73.739752"
"Maisons de Ville Challenger Ouest","45.510713","-73.729156"
"Les Maisons du Nouveau Saint-Laurent","45.498564","-73.749757"
"Les Faubourgs du Majestueux","45.85","-73.233333"
"Condos Résidence Le Laurier","46.805318","-71.216437"
"Les Terrasses Vimont","45.612443","-73.733897"
"Bleu Rive","45.829115","-73.41553"
"Le Victoria","45.510090","-73.500132"
"Parc des Érables","45.624677","-73.771114"
"Domaine de l'Héritage","45.66128","-73.864155"
"Les Condos du Plateau de la Gare","45.670138","-73.874896"
"Place Masséna","45.612634","-73.838373"
"Boisé Notre-Dame","45.547065","-73.736409"
"Altitude 3045","45.546185","-73.735844"
"Place des Nations","45.513198","-73.711214"
"Villas du Mistral","45.513598","-73.714654"
"Axiom 19","45.566962","-73.5988"
"Alinéa","45.585178","-73.6312"
"Le MN2","45.61709","-73.615068"
"La Fabrique 125","45.54114","-73.652763"
"Pointe Est","45.69332","-73.491823"
"Ventura","45.464396","-73.835531"
"Le Monaco","45.509366","-73.697402"
"3280 Cavendish","45.462993","-73.627968"
"Sfère II","45.556179","-73.650793"
"Condos Azur","45.531482","-73.562661"
"Domaine Vert Nord","45.668540","-73.940449"
"Condos la Seigneurie Bellerose","45.627471","-73.753968"
"Le Logix","45.564267","-73.714299"
"Falaise sur Mer","50.218646","-66.382479"
"Condos Val-des-Ruisseaux","45.648587","-73.616803"
"Les Villas des Clos Prévostois","45.843247","-74.058701"
"Condos des Clos Prévostois","45.843247","-74.058701"
"L'Orée du Parc","45.803592","-73.99263"
"Triplex-Condo à Mirabel","45.706315","-74.077152"
"Royal Chomedey ","45.571131","-73.770694"
"Sanctuaire du Cheval Blanc","45.520705","-73.82667"
"Boisé de la Source","45.563803","-73.842084"
"Nouveau Champfleury","45.610225","-73.780103"
"Élite","45.574767","-73.771558"
"Le Lobby","45.571131","-73.770694"
"SE7T","45.488242","-73.568035"
"La Cour 333","45.516488","-73.567694"
"Innova Condos","45.565708","-73.646057"
"Le 215 Redfern","45.486552","-73.587487"
"Le Grand R","46.269816","-74.176772"
"Condo Altura ","46.767749","-71.288616"
"Imagium Condos","46.892939","-71.29851"
"Le Distinction","46.862052","-71.347016"
"Le Vert Mezzanine","46.852163","-71.282906"
"Le 1248","45.511073","-73.561559"
"Domaine du Parc par REA","45.714096","-73.50077"
"Esprit condo","45.615509","-73.679226"
"Atala","45.538019","-73.609441"
"Quartier Greenwich","45.457874","-73.821686"
"Square Equinox 1","45.457874","-73.821686"
"Penny Lane","45.501694","-73.559958"
"Lancashire","45.503413","-73.558598"
"Art-de-vivre","45.520213","-73.562946"
"Cité Radio Condos Verdun","45.461478","-73.567135"
"Bleu Marée","45.498878","-73.853639"
"Destination Le B","45.313783","-72.636898"
"Espaces Haus","45.388466","-72.686712"
"Faubourg Cousineau","45.489743","-73.399506"
"Cité du Parc","45.488261","-73.398557"
"Le Boisé des Chanterelles","45.366364","-71.974439"
"L'Orée des Bois","45.374216","-71.887186"
"Le Domaine de la Gare","45.633943","-73.766783"
"Oasis du Domaine Vert","45.663384","-73.93202"
"Les Havres de St-Bruno","45.512134","-73.331835"
"Condos Crescent","45.496644","-73.574624"
"Condos Mont-Joli","45.583037","-73.628916"
"Kubik","45.504032","-73.663604"
"Via Sauvagia","45.96432","-74.146493"
"Loft Angus","45.547925","-73.558867"
"Le Marquis Concept","48.098582","-77.774536"
"EQ8","45.448416","-73.608701"
"Chalets-Forêt Massif","47.310723","-70.639304"
"Maisons-Fleuve Massif","47.30774299999999","-70.56810899999999"
"Lima Lofts","45.481239","-73.582805"
"Les Terrasses Cap-à-l'Aigle","47.676736","-70.073569"
"Faubourg Londonien","45.427786","-73.457869"
"Les Allées de Bellevue","46.790195","-71.259803"
"Europa","46.811885","-71.216172"
"Lunique","46.785716","-71.259813"
"Le Monastère de l'Étoile","46.800326","-71.226983"
"Le Quartier 40","47.037588","-71.385438"
"Domaine Rivière des Roches","46.879051","-71.263769"
"M sur la Montagne","45.494887","-73.590699"
"Quartier Marie-Victorin","45.393924","-71.978698"
"Domaine Charlevoix","47.441253","-70.48421"
"Tour des Canadiens 2","45.496786","-73.566556"
